longitude,latitude,population,hs age,ave rm,ave br,ave occ,income,value
-117.03,32.63,2087,13,3.5,1,6.3,5.8,227700
-117.09,33.13,5685,9,3,1.2,4.6,3,129900
-122.44,37.77,3505,52,1.9,1,4.9,4.4,500001
-121.3,37.98,2373,47,2.2,1,5.3,4.2,98300
-120.64,35.65,3466,9,3.8,1.1,5.6,3,158200
-122.1,37.41,6277,33,2.5,1.1,5.2,5.5,343300
-122.01,38.37,3996,16,3.1,1,7.4,5.8,175700
-120.79,37.49,1186,44,2.9,1,5.1,3.4,160700
-118.83,34.15,3380,16,1.9,1.1,5.3,4.3,233200
-122.27,37.84,1688,52,2.6,1,5.2,2.2,99700
-122.29,37.88,1650,52,2.2,1,4.3,3.6,179300
-122.01,37.54,2572,32,2.9,1,6.5,5,287600
-118.51,34.26,2472,29,2.8,0.9,6.2,5.5,332500
-118.44,34.15,4420,15,1.6,1.1,4.4,4.6,359100
-118.44,34.03,1193,37,2.2,0.9,5.3,3.6,357600
-117.87,34.08,3630,33,2.8,1,4.6,3.2,206900
-118.09,34.06,3230,38,4.2,1,3.9,2.6,171600
-118.1,33.97,2426,35,3.9,1,4.7,3,163500
-118.14,33.96,590,38,4.7,1.1,4.5,2.2,143800
-118.21,33.93,1337,36,4.5,1,3.4,2.7,121000
-118.19,33.9,1073,36,4.8,0.9,3.7,2.3,104800
-118.33,33.86,854,36,3.2,1.1,5.7,6.4,259600
-118.49,34.04,2597,50,2.8,1,7.7,13.3,500001
-120.89,37.33,2692,27,3.4,1.1,6,2,94200
-121.92,36.61,3044,27,2,1.1,4.9,3.1,268000
-121.86,36.63,338,37,2.3,1.1,3.4,2.5,108300
-117.89,33.71,1591,16,3.9,0.9,6.7,6.2,266300
-121.33,38.57,1621,17,2.1,1,4.8,2.4,150000
-117.13,32.72,2436,9,2.7,1.1,3.7,1.8,137500
-117.15,32.9,1681,12,2.9,1.1,4.6,4.2,176100
-117.09,32.79,2019,31,2.3,1.1,5.2,3.2,177700
-122.43,37.73,1142,52,2.4,1.1,5.5,5.1,298900
-121.88,37.44,1621,17,3.5,1,5.5,5.3,186900
-122.07,37.06,1634,31,2.8,1.1,4.9,3.9,232300
-119.73,36.8,2376,15,2.4,1.1,4.7,3.1,74600
-119.79,36.85,2596,11,3.3,1.2,4.8,2,54000
-118.49,34.27,3047,33,3.1,1,6,4.6,236200
-118.3,34.1,3926,25,3,1.1,2.4,1.6,262500
-118.24,34,588,23,4.1,0.9,3.4,1.2,87500
-118.33,34.19,2115,46,2.6,1.1,4.8,3.7,222000
-117.84,34.1,7836,17,2.9,1.1,5.1,3.8,180700
-118.23,34.22,1376,37,2.7,1.1,6.1,6,431800
-118.15,34.08,3697,48,3.1,1,4.7,3.4,199200
-118.25,33.98,1553,39,5.2,1.1,3.6,1.7,121900
-118.11,33.83,1462,36,3,1.1,6.7,5.1,225300
-118.36,33.86,2126,35,2.4,1,4.9,5.5,297400
-118.32,33.87,2380,35,2.9,1,5.6,5.6,283800
-121.01,37.25,2216,16,2.7,1.1,5.2,2.7,97500
-121.6,36.81,1575,18,3.4,1.1,7.2,5.2,286500
-117.07,34.05,5764,14,2.2,1.2,6.9,2,173200
-116.98,32.68,2346,22,3.2,1,6.1,5.5,156300
-122.42,37.8,2797,52,1.8,1.1,4.3,4.3,500001
-121.99,37.27,2937,27,2.9,1,5.8,5.4,273500
-122.05,36.97,3363,16,2.9,1.1,6.1,4.3,294100
-119.29,34.45,2849,26,2.6,1,5.4,2.7,230800
-118.75,34.28,3844,22,3.4,1.1,7.8,6.2,239900
-119.78,36.82,4241,22,2,1.2,4.4,1.8,53500
-119.79,36.79,1524,19,2.5,1.2,4,1.5,47500
-119.26,35.5,2536,38,2.6,1,5.9,4.2,78600
-119.55,36.37,1912,26,3.2,1.1,6.2,3,126300
-119.8,36.29,479,7,3.2,0.8,4.7,5.2,107500
-118.61,34.17,5944,19,1.9,1.1,4.8,3.9,328900
-118.31,34.06,1848,34,2.3,1.1,3.1,2.1,410000
-118.28,33.95,835,41,3.7,1.1,4.4,1.4,86200
-118.4,33.98,2526,36,2.3,1,5.7,5.6,456600
-118.26,34.14,902,51,2,1,2.7,1.5,268800
-118.1,34.07,3437,33,3.7,1,3.3,2.3,203700
-117.97,33.87,1784,28,2.9,1,4.1,3.7,169200
-117.99,33.79,2064,33,4.4,1,6.6,4.5,169000
-117.13,32.76,1591,33,1.9,1.1,3.7,2.6,140000
-117.08,32.8,2963,25,2.1,1,5.3,3.6,184500
-116.97,32.56,1262,23,18.8,1.1,4.6,2.6,153300
-117.09,32.98,1125,23,2.2,0.9,3.7,2.3,268800
-121.35,38,1649,6,2.1,1.1,4.7,3.4,123800
-122.31,37.54,2444,46,2.4,1,6.1,4.8,388200
-122.1,37.39,1117,31,2,1,3.7,3.6,353100
-122.03,36.97,337,36,3.3,1,5,3.2,225000
-122.4,40.62,4794,9,2.5,1,5.5,3.1,103100
-122.62,38.25,2388,24,3.3,1,6.6,4.7,196500
-122.73,38.46,4042,14,2,1.1,3.5,2.1,135400
-121.81,39.71,1222,18,2.5,0.9,4.4,2,116700
-118.48,34.21,2879,25,3.2,1.1,4.4,3.4,197400
-118.52,34.18,2082,46,2.7,1.1,5.3,3.7,216000
-118.04,34,5308,30,2.5,1,6.3,5.2,279200
-118.2,33.99,1608,35,4.4,1,3.3,3.2,154700
-118.16,33.92,2062,36,3.2,1,5.8,4.5,218900
-117.37,33.97,1166,40,4,1,4.8,2,84800
-116.21,33.75,894,22,4.1,1,4.4,3.1,68200
-116.39,34.15,5583,15,2.8,1.2,5.8,2,73300
-117.11,32.75,1607,11,3.1,1.1,3.6,2.1,100000
-116.61,33.04,2522,11,2.3,2,9.4,3.9,198100
-120.99,37.65,2848,44,2.4,1.1,4.9,2.1,86600
-121.93,37.53,5532,27,3,1,5.8,4.7,243500
-115.51,33.12,1024,21,3.8,0.9,4.4,2.1,46700
-118.44,34.27,1111,36,5,1,4.2,3.5,158100
-118.32,34.01,3104,52,2.6,1.1,5.3,2.7,128000
-118.45,34.12,10722,20,2.5,1.1,7.1,9.7,500001
-118.44,34.02,3278,39,2.1,1,5.3,6.3,465700
-118.44,34.01,2061,42,2.3,1,5.2,6.1,420000
-118.47,34,1235,38,2.4,1,3.3,2.7,287500
-118.31,34.19,724,42,2.8,1,4.8,3.1,361700
-117.95,33.99,1075,25,3.4,1.1,8.1,6.8,332200
-118.18,34.17,4269,43,2.5,1,7.3,9.1,500001
-118.14,34.16,2598,30,3.7,1,3.4,2.1,142300
-118.1,34.05,1495,26,4.3,1.1,4.9,2.9,152300
-118.34,33.9,1342,36,2.7,1,5.1,4.2,236600
-118.38,33.77,10950,17,2.3,1.1,5.4,6.3,418300
-120.62,37.35,1457,20,2.9,1.1,4.2,1.5,69200
-121.07,38.94,1710,14,2.8,1,5.8,4.7,150700
-114.67,33.92,97,17,1.9,1.6,6.5,1.3,27500
-117.11,32.76,2188,19,2.2,1,3.6,2.1,114400
-117.05,33.26,3103,14,3.2,1.1,5.8,3.8,264700
-121.05,38.14,3326,19,3,1.1,6.5,3,166300
-119.84,34.45,4424,26,3.1,1,7.4,6.4,331200
-121.87,37.33,3137,37,3.2,1.1,4.8,3,270300
-120.24,39.67,690,40,2.8,1.2,6.3,2.4,62500
-120.73,39.63,1791,17,2.3,1.9,9.4,3.9,92400
-120.98,37.68,705,24,2.5,0.8,5,3.2,149600
-120.94,37.59,3964,16,3.4,1.1,5.2,2.3,111300
-119.37,36.19,1306,24,3.2,1,4.7,2.5,66100
-119.07,35.27,3081,25,3.1,1.1,5.2,2.6,97900
-118.48,34.15,2536,31,2.3,1,6,5.5,495500
-118.33,34.12,1894,23,2,1.1,4.8,6,500001
-118.21,34.07,902,42,4.1,1,2.8,1.9,168800
-118.29,34.07,3013,19,2.5,1.1,3,2.5,290600
-118.31,33.98,1837,52,3.1,1.2,5.4,2,96500
-118.39,34.03,1450,19,1.7,1.2,3.3,3.1,55000
-117.86,34.1,2535,23,2.9,1.1,5.4,3.6,180600
-118.04,34.07,177,52,3.6,0.8,2.4,2.4,131300
-118.29,33.81,7023,19,2.8,1.1,5,5.1,218200
-118.08,33.82,4259,26,2.8,1,7.3,6.3,345700
-117.71,33.57,3289,4,2,1.2,5.1,4,226000
-117.96,33.83,2838,30,3,1.1,4.8,3.4,197400
-117.9,33.8,1342,21,2.2,1,4,2.9,45000
-118.09,33.75,6239,32,2.8,1,6.6,6.6,380000
-117.5,33.92,2529,31,3.5,1.2,5.9,3,115600
-117.32,33.8,3196,11,3.2,1,5.8,4.1,173300
-117.17,34.07,6573,24,2.4,1,5.5,3.1,108000
-117.31,34.51,2704,18,2.7,1.2,4.5,2,82300
-117.13,32.91,1450,15,2.6,0.9,5,3.6,196300
-116.98,32.75,4137,25,3,1.1,6.6,4.4,214000
-117.35,33.2,1251,32,3,1,5.4,4,142900
-122.41,37.74,409,48,2.1,1.2,5.8,3.7,335000
-121.98,37.3,3404,30,2.8,1.1,5.4,4.6,283200
-120.99,37.66,1748,39,2.8,1.1,5.8,2.6,135600
-121.62,39.12,1405,26,2.9,1,6.5,4.2,94200
-121.64,39.22,1189,37,2.9,1.1,5.4,3.9,100000
-123.28,40.77,767,25,2.5,1.7,6.3,1.6,79200
-118.94,34.24,10018,5,3.8,1.1,8.9,8.9,500001
-122.26,37.77,1704,52,2,1.1,5,4.2,275000
-121.78,37.69,2853,35,3.1,1,5,4.4,168400
-124.23,41.75,3159,11,2.8,1.3,6.6,2.5,73200
-119.88,36.85,2580,8,2.8,1,6.6,7.5,256200
-119.81,36.6,2246,24,3.3,1.2,5.7,2.4,76400
-118.45,35.58,5396,16,2.2,1.5,6.7,1.9,69700
-117.66,35.6,1740,14,2.7,1.2,5.5,2.6,91700
-122.83,38.89,640,11,3,1.5,7.1,3.5,100000
-118.47,34.25,2692,21,2.9,1.1,5.9,4.5,238900
-118.13,34.19,1621,43,3.1,1.1,4.9,2.9,242200
-118.27,33.87,6108,21,2.9,1,5.5,4.3,181400
-118.11,33.8,1837,36,2.7,1.1,6,4.4,235000
-117.8,33.74,2890,33,2.9,1,6.4,6.6,290200
-118,33.83,1718,26,2.8,1.1,4.7,3.9,196100
-117.38,34.22,774,16,3.6,0.9,5.7,5.8,221300
-117.06,32.76,1629,24,2.1,1.2,3.3,1.7,156800
-121.33,37.96,1727,20,2.1,1.1,5.1,2.5,92600
-121.28,37.98,941,52,2.4,1.1,5.5,2.1,69900
-121.22,37.8,335,13,3.2,1.2,4.4,1.6,74100
-122.49,37.7,1946,36,2.7,1.1,6.2,5.3,287700
-122.32,37.53,2795,39,2.7,1.1,6.3,5.8,387100
-122.28,37.52,2958,27,2.2,1.1,5.1,4.1,397800
-122,38.23,2062,1,3.3,1.3,7.7,5.3,191300
-120.97,37.73,3725,19,3.1,1.2,8.1,5.7,248600
-122.12,39.91,4006,16,2.7,1.1,5.3,2.4,77200
-118.93,34.18,2730,18,3,1,6.6,6.2,287900
-120.56,38.39,1326,20,2.4,1.3,5.6,2.7,86600
-122.16,38.02,1800,40,2.8,1.1,6.5,5.1,196100
-120,38.9,1653,21,2.4,1.4,5.4,2,114100
-120.98,38.68,4810,5,2.5,1,5.3,3.3,176900
-119.46,36.6,1404,18,3.3,1,6.1,4,118100
-118.48,34.07,3351,40,3,0.9,6.4,8.5,500001
-118.08,34.02,3789,14,3.2,1,4.8,2.9,144200
-118.13,33.95,6662,24,2.2,1.1,3.8,3.1,230000
-120.25,37.11,2062,20,2.8,1,4.5,1.5,50500
-117.71,33.6,1949,25,1.4,1.1,4.6,2.8,72500
-117.92,33.64,2224,25,1.9,1.1,4.3,3.1,268800
-121.05,38.92,2144,34,2.4,1,5.7,3.3,158800
-121.19,40.23,1572,10,2.4,2.2,15.1,5.8,193800
-121.49,38.51,3166,30,3.2,1.1,5.5,3.2,79500
-122.42,37.78,812,26,1.4,1.1,1.8,2.3,500001
-122.47,37.5,950,25,2.1,1.3,4.9,3.2,319200
-119.72,34.44,1781,43,1.9,1,5,4.7,293800
-119.67,34.44,3202,32,2.5,1,6,5.3,463800
-122.09,37.37,1269,27,2.6,1,7,6.8,500001
-122.7,38.39,4922,16,2.4,1.1,4.5,2.1,168100
-122.18,40.02,1952,30,2.9,1.2,5.9,2.3,68200
-121.78,38,2371,8,2.8,1,6,5.3,174500
-122.1,37.97,4326,18,2.7,1,6.7,5.7,269600
-122.07,37.86,1102,17,1.5,1.1,5.3,3.6,206300
-122.14,37.85,9147,27,2.7,1,7.2,7.3,389900
-117.95,35.08,83,1,2.1,1,5.5,4.9,141700
-118.59,34.21,2737,17,3.7,1.1,3.5,2.6,183500
